dist,energy_error,method
1.59518754423213, -2.0478723404255277,UCCSD(T)/CBS
1.7084217975937719, -1.1968085106382986,UCCSD(T)/CBS
1.8131634819532905, -0.9574468085106389,UCCSD(T)/CBS
1.9207360226468504, -0.6914893617021249,UCCSD(T)/CBS
2.0254777070063694, -0.39893617021276384,UCCSD(T)/CBS
2.1330502476999285, 0.02659574468085424,UCCSD(T)/CBS
2.2406227883934893, 1.835106382978715,UCCSD(T)/CBS
2.348195329087048, 3.85638297872341,UCCSD(T)/CBS
2.4557678697806096, 5.98404255319149,UCCSD(T)/CBS
2.560509554140127, 8.590425531914892,UCCSD(T)/CBS
2.6680820948336876, 11.861702127659576,UCCSD(T)/CBS
2.775654635527247, 15.63829787234043,UCCSD(T)/CBS
2.886058032554848, 19.228723404255316,UCCSD(T)/CBS
2.987968860580325, 21.914893617021285,UCCSD(T)/CBS
3.095541401273885, 23.27127659574468,UCCSD(T)/CBS
3.2031139419674455, 23.29787234042554,UCCSD(T)/CBS
3.3078556263269645, 22.47340425531915,UCCSD(T)/CBS
3.415428167020524, 21.17021276595745,UCCSD(T)/CBS
3.5201698513800426, 19.680851063829785,UCCSD(T)/CBS
3.627742392073603, 18.085106382978722,UCCSD(T)/CBS
3.735314932767163, 16.46276595744681,UCCSD(T)/CBS
3.840056617126681, 14.787234042553198,UCCSD(T)/CBS
3.947629157820242, 13.085106382978726,UCCSD(T)/CBS
4.055201698513802, 11.409574468085111,UCCSD(T)/CBS
4.15994338287332, 9.840425531914892,UCCSD(T)/CBS
4.270346779900921, 8.35106382978724,UCCSD(T)/CBS
4.37508846426044, 7.021276595744684,UCCSD(T)/CBS
4.482661004953999, 5.851063829787236,UCCSD(T)/CBS
4.590233545647559, 4.840425531914896,UCCSD(T)/CBS
4.697806086341119, 3.9627659574468126,UCCSD(T)/CBS
4.805378627034678, 3.218085106382979,UCCSD(T)/CBS
4.910120311394197, 2.6063829787234027,UCCSD(T)/CBS
5.017692852087757, 2.074468085106382,UCCSD(T)/CBS
5.125265392781317, 1.6489361702127638,UCCSD(T)/CBS
5.2300070771408365, 1.3031914893617085,UCCSD(T)/CBS
5.337579617834397, 1.0106382978723474,UCCSD(T)/CBS
5.872611464968154, 0.18617021276596546,UCCSD(T)/CBS
6.404812455767871, -0.0797872340425485,UCCSD(T)/CBS
