System;E_HF;E_exact;E_corr;Bond_length;Spin_state;Source
He;-2.86168;-2.90372;0.04204;;;CCSD(T) benchmarks https://doi.org/10.1063/1.4798707
Li;-7.43275;-7.47806;0.04531;;;FermiNet Paper
Be;-14.57301;-14.66736;0.09435;;;FermiNet Paper
B;-24.53316;-24.65391;0.12075;;;FermiNet Paper
C;-37.69380;-37.84500;0.15120;;;FermiNet Paper
N;-54.40470;-54.58920;0.18450;;;FermiNet Paper
O;-74.81920;-75.06730;0.24810;;;FermiNet Paper
F;-99.41680;-99.73390;0.31710;;;FermiNet Paper
Ne;-128.54790;-128.93760;0.38970;;;FermiNet Paper
H2;-1.13362;-1.17448;0.04086;1.40108;;CCSD(T) benchmarks https://doi.org/10.1063/1.4798707
LiH;-7.98737;-8.07055;0.08318;3.01500;;FermiNet Paper
N2;-108.99400;-109.54230;0.54830;2.06800;;FermiNet Paper
Li2;-14.87155;-14.99540;0.12385;5.05100;;FermiNet Paper
CO;-112.78710;-113.32550;0.53840;2.17300;;FermiNet Paper (CCSD(T))
Be2;-29.13408;-29.33800;0.20392;4.65000;;Morales VMC/DMC extrapolation, HF from https://doi.org/10.1063/1.4798707
B2;-49.09010;-49.41410;0.32400;3.00500;3Sigma-;Morales VMC/DMC extrapolation
C2;-75.40666;-75.92650;0.51984;2.34810;;Morales VMC/DMC extrapolation
O2;-149.66875;-150.32740;0.65865;2.28300;3Sigma-;Morales VMC/DMC extrapolation
F2;-198.77352;-199.53040;0.75688;2.66800;;Morales VMC/DMC extrapolation
H4Rect;;-2.0155;;R=3.2843, theta=90deg;;FermiNet Paper
