kx,ky,energy,energy_err,in_original_training_dataset
0.0,0.0,-304.59826232910154,0.0029444633066669154,True
-0.0034484042751275466,-0.005972909051816814,-304.6192657470703,0.002706693494497974,False
-0.006896808550255093,-0.011945818103633628,-304.636767578125,0.0028238850007883823,False
-0.010343971499149692,-0.01791657708019781,-304.661975402832,0.0035798077118857014,True
-0.013792375774277239,-0.023889486132014623,-304.69948425292966,0.002579880979155535,False
-0.017240780049404787,-0.02986239518383144,-304.7321481323242,0.002523938638577339,False
-0.020689184324532334,-0.035835304235648256,-304.77152923583986,0.00252673128578935,True
-0.024136347273426933,-0.04180606321221243,-304.8171081542969,0.0024980737087585926,False
-0.027584751548554477,-0.047778972264029246,-304.85731536865234,0.002239847586634339,False
-0.031033155823682025,-0.05375188131584606,-304.89072174072265,0.0025418210274311863,True
-0.03448156009880957,-0.05972479036766288,-304.93837982177735,0.00243076982392739,False
-0.03792996437393712,-0.06569769941947969,-304.9664346313477,0.0023505633496461236,False
-0.04137712732283172,-0.07166845839604387,-304.99923828125,0.0024730343332762614,True
-0.04482553159795926,-0.07764136744786068,-305.0296044921875,0.002439435054427897,False
-0.048273935873086815,-0.0836142764996775,-305.04881896972654,0.0025870358847861754,False
-0.051722340148214356,-0.08958718555149431,-305.0629833984375,0.0023204089037899968,True
-0.055169503097108955,-0.09555794452805849,-305.0838525390625,0.002518243134067077,False
-0.0586179073722365,-0.1015308535798753,-305.08784454345704,0.0023888151803664248,False
-0.06206631164736405,-0.10750376263169212,-305.08082977294924,0.0021168446825007405,True
-0.06982460060328456,-0.10302300580520318,-305.0813885498047,0.0022273152693007493,False
-0.07758288955920506,-0.09854654912921952,-305.0885531616211,0.0023341876608861957,False
-0.08534117851512557,-0.0940657923027306,-305.0758123779297,0.002411327942168526,False
-0.09309946747104608,-0.08958503547624168,-305.0694778442383,0.0022784277318225214,True
-0.10085775642696658,-0.08510857880025803,-305.05015655517576,0.0024919805773534415,False
-0.10861604538288708,-0.0806278219737691,-305.0450091552734,0.0022960746857155793,False
-0.11637433433880759,-0.07614706514728017,-305.0174578857422,0.0025591141073580794,False
-0.1241326232947281,-0.07167060847129648,-304.9824856567383,0.002801512533367158,True
-0.11637433433880759,-0.06718985164480758,-305.0225262451172,0.0024908791038178064,False
-0.10861604538288709,-0.06270909481831866,-305.04298889160157,0.0030029810076934336,False
-0.10085775642696658,-0.05823263814233497,-305.0421029663086,0.0023365442876012487,False
-0.09309946747104608,-0.05375188131584606,-305.03966247558594,0.0022762581763147304,True
-0.08534117851512557,-0.04927112448935714,-305.02333862304687,0.0021155781342718704,False
-0.07758288955920506,-0.044794667813373476,-305.0027697753906,0.0022275031399752038,False
-0.06982460060328456,-0.04031391098688454,-304.97545043945314,0.0023082246888160947,False
-0.06206631164736405,-0.03583315416039561,-304.939596862793,0.0024749381003341727,True
-0.05430802269144354,-0.03135669748441195,-304.8901364135742,0.002188224795184171,False
-0.04654973373552304,-0.02687594065792303,-304.84299835205076,0.002638642260433018,False
-0.03879144477960253,-0.022395183831434098,-304.79240478515624,0.0027902960109353276,False
-0.03103315582368203,-0.017918727155450447,-304.7417190551758,0.0024915210731995437,True
-0.02327486686776152,-0.013437970328961515,-304.69123779296876,0.003203605811719669,False
-0.015516577911841013,-0.008957213502472588,-304.6539358520508,0.0027795026142126843,False
-0.007758288955920506,-0.0044807568264889274,-304.6224710083008,0.0025476172506378176,False
0.0,0.0,-304.59826232910154,0.0029444633066669154,True
