,hash,k_twist_weight_12x12_grid,E_mean,E_sfc_corrected,E_zpve_sfc_corrected,part_of_3x3_grid
0,c34cc71657325f9acbe715b3718fbc23,0.041666666666666664,-76.25724792480469,-76.25426294090462,-76.24146294090463,True
1,eeae5570d6fce24692fbd074c910dfb5,0.041666666666666664,-76.20015716552734,-76.1971662723165,-76.1843662723165,False
2,6c079e0f5d6aff664979fe4b91ee6c5b,0.08333333333333333,-76.2679214477539,-76.26495402422542,-76.25215402422542,False
3,fd23d3b9534440a3c0bd3dc00db40b37,0.08333333333333333,-76.24703216552734,-76.24406231795265,-76.23126231795266,False
4,a3179cd17a72a16bf88ec3e13edcb694,0.08333333333333333,-76.21897888183594,-76.2159763934179,-76.2031763934179,False
5,ed8047da7085e5501c98d1e425ab2860,0.08333333333333333,-76.26152801513672,-76.25856112780279,-76.2457611278028,False
6,3f88c90cf1ee073aa3f6657b95cfcfc9,0.013888888888888888,-76.25899505615234,-76.25603399993416,-76.24323399993416,True
7,19e7d6ebdeb6b0dd235f3ae015041919,0.041666666666666664,-76.27753448486328,-76.27456855821126,-76.26176855821126,False
8,cec05f7fe45bb4d8bb22a8277d212b16,0.041666666666666664,-76.1913833618164,-76.18839059192462,-76.17559059192462,False
9,a514a275be992dbc170aae5385086e0c,0.08333333333333333,-76.27862548828125,-76.27565239002709,-76.26285239002709,False
10,3af54b12dae1e261a35aa9dbf6455d5a,0.006944444444444444,-76.1572036743164,-76.15417198563672,-76.14137198563672,True
11,d58c8c6e8da1bb0d4aa1323893fe4db5,0.041666666666666664,-76.23075103759766,-76.22776749472045,-76.21496749472045,False
12,b4af03e0160b2ac4615277a5d2f22e00,0.041666666666666664,-76.24071502685547,-76.23773137227107,-76.22493137227107,False
13,ba57a95f704ed8dc477ea832d61fc220,0.041666666666666664,-76.26875305175781,-76.26578916934751,-76.25298916934752,False
14,faa5caaa69701fdec32c8a3b16e2a90d,0.041666666666666664,-76.17233276367188,-76.16933198437397,-76.15653198437397,False
15,9ea4b0891a2249078b8ef182fe17edb7,0.020833333333333332,-76.27874755859375,-76.27577818018929,-76.2629781801893,False
16,7c5eed689c58205c44cf6aea61f21d8d,0.041666666666666664,-76.27374267578125,-76.27076497519052,-76.25796497519052,False
17,bb220817f77bcd6e8a39bcdf3f88c041,0.08333333333333333,-76.27284240722656,-76.2698549434267,-76.2570549434267,False
18,a9d4642411bdabc443aa9f0fc2cf9603,0.08333333333333333,-76.27397918701172,-76.27101291406738,-76.25821291406739,False
