source;method;n_atoms;R;z
Motta (2020);AFQMC;40;1.1;0.000815661
Motta (2020);AFQMC;40;1.2;4.44E-16
Motta (2020);AFQMC;40;1.4;0.000815661
Motta (2020);AFQMC;40;1.8;0.084013051
Motta (2020);AFQMC;40;2.4;0.639477977
Motta (2020);AFQMC;40;3;0.867862969
Motta (2020);AFQMC;40;3.6;0.94045677
Motta (2020);DMC;40;1.1;0.000815661
Motta (2020);DMC;40;1.8;0.188417618
Motta (2020);DMC;40;2.4;0.605220228
Motta (2020);DMC;40;3;0.846655791
Motta (2020);DMC;40;3.6;0.923327896
Motta (2020);VMC;40;1.1;-0.000815661
Motta (2020);VMC;40;1.8;0.013866232
Motta (2020);VMC;40;2.4;0.051386623
Motta (2020);VMC;40;3;0.305872757
Motta (2020);VMC;40;3.6;0.781402936
Stella (2011);VMC;18;1;0.000718907
Stella (2011);VMC;18;1.5;0.005751258
Stella (2011);VMC;18;2;0.015097052
Stella (2011);VMC;18;2.5;0.038820992
Stella (2011);VMC;18;3;0.131560029
Stella (2011);VMC;18;3.5;0.409777139
Stella (2011);VMC;18;4;0.751976995
Stella (2011);VMC;18;4.5;0.87922358
Stella (2011);VMC;18;5;0.925952552
Stella (2011);VMC;18;6;0.961179008
Stella (2011);VMC;18;7;0.974119339
Stella (2011);VMC;34;1;0.001437815
Stella (2011);VMC;34;1.5;0.005751258
Stella (2011);VMC;34;2;0.016534867
Stella (2011);VMC;34;2.5;0.055355859
Stella (2011);VMC;34;3;0.250179727
Stella (2011);VMC;34;3.5;0.679367362
Stella (2011);VMC;34;4;0.862688713
Stella (2011);VMC;34;4.5;0.930265996
Stella (2011);VMC;34;5;0.956146657
Stella (2011);VMC;34;6;0.975557153
Stella (2011);VMC;34;7;0.985621855
Stella (2011);VMC;66;1;0.001437815
Stella (2011);VMC;66;1.5;0.00790798
Stella (2011);VMC;66;2;0.022286125
Stella (2011);VMC;66;2.5;0.080517613
Stella (2011);VMC;66;3;0.253055356
Stella (2011);VMC;66;3.5;0.823148814
Stella (2011);VMC;66;4;0.927390367
Stella (2011);VMC;66;4.5;0.964054637
Stella (2011);VMC;66;5;0.979151689
Stella (2011);VMC;66;6;0.989216391
Stella (2011);VMC;66;7;0.992810927
