method,system,n_el,t
FN,Hchain,4,0.07317686080932617
FN,Hchain,8,0.13979601860046387
FN,Hchain,12,0.2601691484451294
FN,Hchain,16,0.4369235038757324
FN,Hchain,20,0.5540966987609863
FN,Hchain,24,0.7992039918899536
FN,Hchain,28,1.1882693767547607
FN,Hchain,32,1.504786729812622
FN,Hchain,36,2.322020411491394
FN,Hchain,40,2.9855294227600098
FN,dimer,4,0.07561171054840088
FN,dimer,8,0.13927602767944336
FN,dimer,12,0.24937057495117188
FN,dimer,16,0.40998268127441406
FN,dimer,20,0.48367226123809814
FN,dimer,24,0.6678617000579834
FN,dimer,28,0.9445321559906006
FN,dimer,32,1.2400485277175903
FN,dimer,36,1.7681657075881958
FN,dimer,40,2.240804076194763
TAOs,Hchain,4,0.11863493919372559
TAOs,Hchain,8,0.20281517505645752
TAOs,Hchain,12,0.41051173210144043
TAOs,Hchain,16,0.7546713352203369
TAOs,Hchain,20,1.376702904701233
TAOs,Hchain,24,2.4414302110671997
TAOs,Hchain,28,4.065197825431824
TAOs,Hchain,32,5.095243573188782
TAOs,Hchain,36,7.91547966003418
TAOs,dimer,4,0.11062145233154297
TAOs,dimer,8,0.1471090316772461
TAOs,dimer,12,0.21483361721038818
TAOs,dimer,16,0.31534385681152344
TAOs,dimer,20,0.4575005769729614
TAOs,dimer,24,0.6412897109985352
TAOs,dimer,28,0.8872318267822266
TAOs,dimer,32,1.1297461986541748
TAOs,dimer,36,1.5681886672973633
TAOs,dimer,40,2.0056984424591064
TAOs_batched,Hchain,4,0.15750205516815186
TAOs_batched,Hchain,8,0.28257083892822266
TAOs_batched,Hchain,12,0.5350648164749146
TAOs_batched,Hchain,16,0.9395252466201782
TAOs_batched,Hchain,20,1.6324580907821655
TAOs_batched,Hchain,24,2.5161242485046387
TAOs_batched,Hchain,28,4.227618455886841
TAOs_batched,Hchain,32,6.42719042301178
TAOs_batched,Hchain,36,9.339998841285706
TAOs_batched,Hchain,40,12.783416986465454
TAOs_batched,Hchain,44,16.564969301223755
TAOs_batched,dimer,4,0.1502166986465454
TAOs_batched,dimer,8,0.241005539894104
TAOs_batched,dimer,12,0.39648592472076416
TAOs_batched,dimer,16,0.4964933395385742
TAOs_batched,dimer,20,0.7036763429641724
TAOs_batched,dimer,24,0.9879344701766968
TAOs_batched,dimer,28,1.418213963508606
TAOs_batched,dimer,32,1.8620094060897827
TAOs_batched,dimer,36,2.480239748954773
TAOs_batched,dimer,40,3.02961528301239
